[2025-01-13 21:29:13,174] botocore.credentials - INFO - Found credentials in shared credentials file: ~/.aws/credentials
[2025-01-13 21:29:14,242] root - INFO - Enterned into the start data ingestion method in the trainig pipeline
[2025-01-13 21:29:14,242] root - INFO - getting started with data from the url
[2025-01-13 21:29:14,302] root - INFO - Initiating data ingestion in the Data Ingestion class
[2025-01-13 21:29:14,303] root - INFO - Downloading file from Google Drive https://drive.google.com/uc?id=10iHvwk510kQiw45XN9zEBjBzY1mRpAz5 into artifacts\01_13_25_21_29_11\data_ingestion\downloaded_data.zip
[2025-01-13 21:29:18,578] root - INFO - Downloaded file from Google Drive into artifacts\01_13_25_21_29_11\data_ingestion\downloaded_data.zip
[2025-01-13 21:29:18,578] root - INFO - data downloaded from google drive
[2025-01-13 21:29:18,713] root - INFO - Extracted zip file from artifacts\01_13_25_21_29_11\data_ingestion\downloaded_data.zip into directory artifacts\01_13_25_21_29_11\data_ingestion\feature_store
[2025-01-13 21:29:18,713] root - INFO - Completed data ingestion
[2025-01-13 21:29:18,713] root - INFO - Data Ingestion Artifacts: DataIngestionArtifact(data_zip_file_path='artifacts\\01_13_25_21_29_11\\data_ingestion\\downloaded_data.zip', feature_store_path='artifacts\\01_13_25_21_29_11\\data_ingestion\\feature_store')
[2025-01-13 21:29:18,713] root - INFO - got the data from the url
[2025-01-13 21:29:18,713] root - INFO - Exited rom the start data ingestion method from the Training pipeline class
[2025-01-13 21:29:18,715] root - INFO - Enterned into the start data validation method in the training pipeline
[2025-01-13 21:29:18,715] root - INFO - Entered into initiating data validation class
